Season,TeamName,TeamID,Seed,Wins,Record,Deepest Round
2013,Kansas,1242,1,2,2-1,Sweet 16
2014,Kansas,1242,2,1,1-1,Round of 32
2015,Kansas,1242,2,1,1-1,Round of 32
2016,Kansas,1242,1,3,3-1,Elite Eight
2017,Kansas,1242,1,3,3-1,Elite Eight
2018,Kansas,1242,1,4,4-1,Final Four
2019,Kansas,1242,4,1,1-1,Round of 32
2021,Kansas,1242,3,1,1-1,Round of 32
2022,Kansas,1242,1,6,6-0,Champion
2023,Kansas,1242,1,1,1-1,Round of 32
2024,Kansas,1242,4,1,1-1,Round of 32
2025,Kansas,1242,7,0,0-1,R64 Exit
2008,Kansas St,1243,11,1,1-1,Round of 32
2010,Kansas St,1243,2,3,3-1,Elite Eight
2011,Kansas St,1243,5,1,1-1,Round of 32
2012,Kansas St,1243,8,1,1-1,Round of 32
2013,Kansas St,1243,4,0,0-1,R64 Exit
2014,Kansas St,1243,9,0,0-1,R64 Exit
2017,Kansas St,1243,11,1,1-1,Round of 32
2018,Kansas St,1243,9,3,3-1,Elite Eight
2019,Kansas St,1243,4,0,0-1,R64 Exit
2023,Kansas St,1243,3,3,3-1,Elite Eight
2023,Kennesaw,1244,14,0,0-1,R64 Exit
2006,Kent,1245,12,0,0-1,R64 Exit
2008,Kent,1245,9,0,0-1,R64 Exit
2017,Kent,1245,14,0,0-1,R64 Exit
2023,Kent,1245,13,0,0-1,R64 Exit
2003,Kentucky,1246,1,3,3-1,Elite Eight
2004,Kentucky,1246,1,1,1-1,Round of 32
2005,Kentucky,1246,2,3,3-1,Elite Eight
2006,Kentucky,1246,8,1,1-1,Round of 32
2007,Kentucky,1246,8,1,1-1,Round of 32
2008,Kentucky,1246,11,0,0-1,R64 Exit
2010,Kentucky,1246,1,3,3-1,Elite Eight
2011,Kentucky,1246,4,4,4-1,Final Four
2012,Kentucky,1246,1,6,6-0,Champion
2014,Kentucky,1246,8,5,5-1,NCG
2015,Kentucky,1246,1,4,4-1,Final Four
2016,Kentucky,1246,4,1,1-1,Round of 32
2017,Kentucky,1246,2,3,3-1,Elite Eight
2018,Kentucky,1246,5,2,2-1,Sweet 16
2019,Kentucky,1246,2,3,3-1,Elite Eight
2022,Kentucky,1246,2,0,0-1,R64 Exit
2023,Kentucky,1246,6,1,1-1,Round of 32
2024,Kentucky,1246,3,0,0-1,R64 Exit
2025,Kentucky,1246,3,2,2-1,Sweet 16
2011,LIU Brooklyn,1254,15,0,0-1,R64 Exit
2012,LIU Brooklyn,1254,16,0,0-1,R64 Exit
2013,LIU Brooklyn,1254,16,0,0-1,R64 Exit
2018,LIU Brooklyn,1254,16,0,0-1,R64 Exit
2003,LSU,1261,8,0,0-1,R64 Exit
2005,LSU,1261,6,0,0-1,R64 Exit
2006,LSU,1261,4,4,4-1,Final Four
2009,LSU,1261,8,1,1-1,Round of 32
2015,LSU,1261,9,0,0-1,R64 Exit
2019,LSU,1261,3,2,2-1,Sweet 16
2021,LSU,1261,8,1,1-1,Round of 32
2022,LSU,1261,6,0,0-1,R64 Exit
2013,La Salle,1247,13,3,3-1,Elite Eight
2015,Lafayette,1248,16,0,0-1,R64 Exit
2012,Lamar,1249,16,0,0-1,R64 Exit
2004,Lehigh,1250,16,0,0-1,R64 Exit
2010,Lehigh,1250,16,0,0-1,R64 Exit
2012,Lehigh,1250,15,1,1-1,Round of 32
2004,Liberty,1251,16,0,0-1,R64 Exit
2013,Liberty,1251,16,0,0-1,R64 Exit
2019,Liberty,1251,12,1,1-1,Round of 32
2021,Liberty,1251,13,0,0-1,R64 Exit
2025,Liberty,1251,12,0,0-1,R64 Exit
2018,Lipscomb,1252,15,0,0-1,R64 Exit
2025,Lipscomb,1252,14,0,0-1,R64 Exit
2007,Long Beach St,1253,12,0,0-1,R64 Exit
2012,Long Beach St,1253,12,0,0-1,R64 Exit
2024,Long Beach St,1253,15,0,0-1,R64 Exit
2022,Longwood,1255,14,0,0-1,R64 Exit
2024,Longwood,1255,16,0,0-1,R64 Exit
2004,Louisiana,1418,14,0,0-1,R64 Exit
2005,Louisiana,1418,13,0,0-1,R64 Exit
2014,Louisiana,1418,14,0,0-1,R64 Exit
2023,Louisiana,1418,13,0,0-1,R64 Exit
2003,Louisville,1257,4,1,1-1,Round of 32
2004,Louisville,1257,10,0,0-1,R64 Exit
2005,Louisville,1257,4,4,4-1,Final Four
2007,Louisville,1257,6,1,1-1,Round of 32
2008,Louisville,1257,3,3,3-1,Elite Eight
2009,Louisville,1257,1,3,3-1,Elite Eight
2010,Louisville,1257,9,0,0-1,R64 Exit
2011,Louisville,1257,4,0,0-1,R64 Exit
2012,Louisville,1257,4,4,4-1,Final Four
2013,Louisville,1257,1,6,6-0,Champion
2014,Louisville,1257,4,2,2-1,Sweet 16
2015,Louisville,1257,4,3,3-1,Elite Eight
2017,Louisville,1257,2,1,1-1,Round of 32
2019,Louisville,1257,7,0,0-1,R64 Exit
2025,Louisville,1257,8,0,0-1,R64 Exit
2012,Loyola MD,1259,15,0,0-1,R64 Exit
2018,Loyola-Chicago,1260,11,4,4-1,Final Four
2021,Loyola-Chicago,1260,8,2,2-1,Sweet 16
2022,Loyola-Chicago,1260,10,0,0-1,R64 Exit
2008,MS Valley St,1290,16,0,0-1,R64 Exit
2012,MS Valley St,1290,16,0,0-1,R64 Exit
2013,MTSU,1292,11,0,0-1,R64 Exit
2016,MTSU,1292,15,1,1-1,Round of 32
2017,MTSU,1292,12,1,1-1,Round of 32
2003,Manhattan,1264,14,0,0-1,R64 Exit
2004,Manhattan,1264,12,1,1-1,Round of 32
2014,Manhattan,1264,13,0,0-1,R64 Exit
2015,Manhattan,1264,16,0,0-1,R64 Exit
2003,Marquette,1266,3,4,4-1,Final Four
2006,Marquette,1266,7,0,0-1,R64 Exit
2007,Marquette,1266,8,0,0-1,R64 Exit
2008,Marquette,1266,6,1,1-1,Round of 32
2009,Marquette,1266,6,1,1-1,Round of 32
2010,Marquette,1266,6,0,0-1,R64 Exit
2011,Marquette,1266,11,2,2-1,Sweet 16
2012,Marquette,1266,3,2,2-1,Sweet 16
2013,Marquette,1266,3,3,3-1,Elite Eight
2017,Marquette,1266,10,0,0-1,R64 Exit
2019,Marquette,1266,5,0,0-1,R64 Exit
2022,Marquette,1266,9,0,0-1,R64 Exit
2023,Marquette,1266,2,1,1-1,Round of 32
2024,Marquette,1266,2,2,2-1,Sweet 16
2025,Marquette,1266,7,0,0-1,R64 Exit
2018,Marshall,1267,13,1,1-1,Round of 32
2003,Maryland,1268,6,2,2-1,Sweet 16
2004,Maryland,1268,4,1,1-1,Round of 32
2007,Maryland,1268,4,1,1-1,Round of 32
2009,Maryland,1268,10,1,1-1,Round of 32
2010,Maryland,1268,4,1,1-1,Round of 32
2015,Maryland,1268,4,1,1-1,Round of 32
2016,Maryland,1268,5,2,2-1,Sweet 16
2017,Maryland,1268,6,0,0-1,R64 Exit
2019,Maryland,1268,6,1,1-1,Round of 32
2021,Maryland,1268,10,1,1-1,Round of 32
2023,Maryland,1268,8,1,1-1,Round of 32
2025,Maryland,1268,4,2,2-1,Sweet 16
2014,Massachusetts,1269,6,0,0-1,R64 Exit
2024,McNeese St,1270,12,0,0-1,R64 Exit
2025,McNeese St,1270,12,1,1-1,Round of 32
2003,Memphis,1272,7,0,0-1,R64 Exit
2004,Memphis,1272,7,1,1-1,Round of 32
2006,Memphis,1272,1,3,3-1,Elite Eight
2007,Memphis,1272,2,3,3-1,Elite Eight
2008,Memphis,1272,1,5,5-1,NCG
2009,Memphis,1272,2,2,2-1,Sweet 16
2011,Memphis,1272,12,0,0-1,R64 Exit
2012,Memphis,1272,8,0,0-1,R64 Exit
2013,Memphis,1272,6,1,1-1,Round of 32
2014,Memphis,1272,8,1,1-1,Round of 32
2022,Memphis,1272,9,1,1-1,Round of 32
2023,Memphis,1272,8,0,0-1,R64 Exit
2025,Memphis,1272,5,0,0-1,R64 Exit
2014,Mercer,1273,14,1,1-1,Round of 32
2008,Miami FL,1274,7,1,1-1,Round of 32
2013,Miami FL,1274,2,2,2-1,Sweet 16
2016,Miami FL,1274,3,2,2-1,Sweet 16
2017,Miami FL,1274,8,0,0-1,R64 Exit
2018,Miami FL,1274,6,0,0-1,R64 Exit
2022,Miami FL,1274,10,3,3-1,Elite Eight
2023,Miami FL,1274,5,4,4-1,Final Four
2007,Miami OH,1275,14,0,0-1,R64 Exit
2009,Michigan,1276,10,1,1-1,Round of 32
2011,Michigan,1276,8,1,1-1,Round of 32
2012,Michigan,1276,4,0,0-1,R64 Exit
2013,Michigan,1276,4,5,5-1,NCG
2014,Michigan,1276,2,3,3-1,Elite Eight
2016,Michigan,1276,11,1,1-1,Round of 32
2017,Michigan,1276,7,2,2-1,Sweet 16
2018,Michigan,1276,3,5,5-1,NCG
2019,Michigan,1276,2,2,2-1,Sweet 16
2021,Michigan,1276,1,3,3-1,Elite Eight
2022,Michigan,1276,11,2,2-1,Sweet 16
2025,Michigan,1276,5,2,2-1,Sweet 16
2003,Michigan St,1277,7,3,3-1,Elite Eight
2004,Michigan St,1277,7,0,0-1,R64 Exit
2005,Michigan St,1277,5,4,4-1,Final Four
2006,Michigan St,1277,6,0,0-1,R64 Exit
2007,Michigan St,1277,9,1,1-1,Round of 32
2008,Michigan St,1277,5,2,2-1,Sweet 16
2009,Michigan St,1277,2,5,5-1,NCG
2010,Michigan St,1277,5,4,4-1,Final Four
2011,Michigan St,1277,10,0,0-1,R64 Exit
2012,Michigan St,1277,1,2,2-1,Sweet 16
2013,Michigan St,1277,3,2,2-1,Sweet 16
2014,Michigan St,1277,4,3,3-1,Elite Eight
2015,Michigan St,1277,7,4,4-1,Final Four
2016,Michigan St,1277,2,0,0-1,R64 Exit
2017,Michigan St,1277,9,1,1-1,Round of 32
2018,Michigan St,1277,3,1,1-1,Round of 32
2019,Michigan St,1277,2,4,4-1,Final Four
2021,Michigan St,1277,11,0,0-1,R64 Exit
2022,Michigan St,1277,7,1,1-1,Round of 32
2023,Michigan St,1277,7,2,2-1,Sweet 16
2024,Michigan St,1277,9,1,1-1,Round of 32
2025,Michigan St,1277,2,3,3-1,Elite Eight
2005,Minnesota,1278,8,0,0-1,R64 Exit
2009,Minnesota,1278,10,0,0-1,R64 Exit
2010,Minnesota,1278,11,0,0-1,R64 Exit
2013,Minnesota,1278,11,1,1-1,Round of 32
2017,Minnesota,1278,5,0,0-1,R64 Exit
2019,Minnesota,1278,10,1,1-1,Round of 32
2013,Mississippi,1279,12,1,1-1,Round of 32
2015,Mississippi,1279,11,1,1-1,Round of 32
2019,Mississippi,1279,8,0,0-1,R64 Exit
2025,Mississippi,1279,6,2,2-1,Sweet 16
2003,Mississippi St,1280,5,0,0-1,R64 Exit
2004,Mississippi St,1280,2,1,1-1,Round of 32
2005,Mississippi St,1280,9,1,1-1,Round of 32
2008,Mississippi St,1280,8,1,1-1,Round of 32
2009,Mississippi St,1280,13,0,0-1,R64 Exit
2019,Mississippi St,1280,5,0,0-1,R64 Exit
2023,Mississippi St,1280,11,0,0-1,R64 Exit
2024,Mississippi St,1280,8,0,0-1,R64 Exit
2025,Mississippi St,1280,8,0,0-1,R64 Exit
2003,Missouri,1281,6,1,1-1,Round of 32
2009,Missouri,1281,3,3,3-1,Elite Eight
2010,Missouri,1281,10,1,1-1,Round of 32
2011,Missouri,1281,11,0,0-1,R64 Exit
2012,Missouri,1281,2,0,0-1,R64 Exit
2013,Missouri,1281,9,0,0-1,R64 Exit
2018,Missouri,1281,8,0,0-1,R64 Exit
2021,Missouri,1281,9,0,0-1,R64 Exit
2023,Missouri,1281,7,1,1-1,Round of 32
2025,Missouri,1281,6,0,0-1,R64 Exit
2004,Monmouth NJ,1284,15,0,0-1,R64 Exit
2006,Monmouth NJ,1284,16,1,1-1,Round of 32
2005,Montana,1285,16,0,0-1,R64 Exit
2006,Montana,1285,12,1,1-1,Round of 32
2010,Montana,1285,14,0,0-1,R64 Exit
2012,Montana,1285,13,0,0-1,R64 Exit
2013,Montana,1285,13,0,0-1,R64 Exit
2018,Montana,1285,14,0,0-1,R64 Exit
2019,Montana,1285,15,0,0-1,R64 Exit
2025,Montana,1285,14,0,0-1,R64 Exit
2022,Montana St,1286,14,0,0-1,R64 Exit
2023,Montana St,1286,14,0,0-1,R64 Exit
2024,Montana St,1286,16,0,0-1,R64 Exit
2009,Morehead St,1287,16,1,1-1,Round of 32
2011,Morehead St,1287,13,1,1-1,Round of 32
2021,Morehead St,1287,14,0,0-1,R64 Exit
2024,Morehead St,1287,14,0,0-1,R64 Exit
2009,Morgan St,1288,15,0,0-1,R64 Exit
2010,Morgan St,1288,15,0,0-1,R64 Exit
2008,Mt St Mary's,1291,16,1,1-1,Round of 32
2014,Mt St Mary's,1291,16,0,0-1,R64 Exit
2017,Mt St Mary's,1291,16,1,1-1,Round of 32
2021,Mt St Mary's,1291,16,0,0-1,R64 Exit
2025,Mt St Mary's,1291,16,1,1-1,Round of 32
2004,Murray St,1293,12,0,0-1,R64 Exit
2006,Murray St,1293,14,0,0-1,R64 Exit
2010,Murray St,1293,13,1,1-1,Round of 32
2012,Murray St,1293,6,1,1-1,Round of 32
2018,Murray St,1293,12,0,0-1,R64 Exit
2019,Murray St,1293,12,1,1-1,Round of 32
2022,Murray St,1293,7,1,1-1,Round of 32
2011,N Colorado,1294,15,0,0-1,R64 Exit
2009,N Dakota St,1295,14,0,0-1,R64 Exit
2014,N Dakota St,1295,12,1,1-1,Round of 32
2015,N Dakota St,1295,15,0,0-1,R64 Exit
2019,N Dakota St,1295,16,1,1-1,Round of 32
2017,N Kentucky,1297,15,0,0-1,R64 Exit
2019,N Kentucky,1297,14,0,0-1,R64 Exit
2023,N Kentucky,1297,16,0,0-1,R64 Exit
2013,NC A&T,1299,16,1,1-1,Round of 32
2014,NC Central,1300,14,0,0-1,R64 Exit
2017,NC Central,1300,16,0,0-1,R64 Exit
2018,NC Central,1300,16,0,0-1,R64 Exit
2019,NC Central,1300,16,0,0-1,R64 Exit
2003,NC State,1301,9,0,0-1,R64 Exit
2004,NC State,1301,3,1,1-1,Round of 32
2005,NC State,1301,10,2,2-1,Sweet 16
2006,NC State,1301,10,1,1-1,Round of 32
2012,NC State,1301,11,2,2-1,Sweet 16
2013,NC State,1301,8,0,0-1,R64 Exit
2014,NC State,1301,12,1,1-1,Round of 32
2015,NC State,1301,8,2,2-1,Sweet 16
2018,NC State,1301,9,0,0-1,R64 Exit
2023,NC State,1301,11,0,0-1,R64 Exit
2024,NC State,1301,11,4,4-1,Final Four
2025,NE Omaha,1303,15,0,0-1,R64 Exit
2014,Nebraska,1304,11,0,0-1,R64 Exit
2024,Nebraska,1304,8,0,0-1,R64 Exit
2004,Nevada,1305,10,2,2-1,Sweet 16
2005,Nevada,1305,9,1,1-1,Round of 32
2006,Nevada,1305,5,0,0-1,R64 Exit
2007,Nevada,1305,7,1,1-1,Round of 32
2017,Nevada,1305,12,0,0-1,R64 Exit
2018,Nevada,1305,7,2,2-1,Sweet 16
2019,Nevada,1305,7,0,0-1,R64 Exit
2023,Nevada,1305,11,0,0-1,R64 Exit
2024,Nevada,1305,10,0,0-1,R64 Exit
2005,New Mexico,1307,12,0,0-1,R64 Exit
2010,New Mexico,1307,3,1,1-1,Round of 32
2012,New Mexico,1307,5,1,1-1,Round of 32
2013,New Mexico,1307,3,0,0-1,R64 Exit
2014,New Mexico,1307,7,0,0-1,R64 Exit
2024,New Mexico,1307,11,0,0-1,R64 Exit
2025,New Mexico,1307,10,1,1-1,Round of 32
2007,New Mexico St,1308,13,0,0-1,R64 Exit
2010,New Mexico St,1308,12,0,0-1,R64 Exit
2012,New Mexico St,1308,13,0,0-1,R64 Exit
2013,New Mexico St,1308,13,0,0-1,R64 Exit
2014,New Mexico St,1308,13,0,0-1,R64 Exit
2015,New Mexico St,1308,15,0,0-1,R64 Exit
2017,New Mexico St,1308,14,0,0-1,R64 Exit
2018,New Mexico St,1308,12,0,0-1,R64 Exit
2019,New Mexico St,1308,12,0,0-1,R64 Exit
2022,New Mexico St,1308,12,1,1-1,Round of 32
2017,New Orleans,1309,16,0,0-1,R64 Exit
2005,Niagara,1310,14,0,0-1,R64 Exit
2007,Niagara,1310,16,1,1-1,Round of 32
2012,Norfolk St,1313,15,1,1-1,Round of 32
2021,Norfolk St,1313,16,1,1-1,Round of 32
2022,Norfolk St,1313,16,0,0-1,R64 Exit
2025,Norfolk St,1313,16,0,0-1,R64 Exit
2004,North Carolina,1314,6,1,1-1,Round of 32
2005,North Carolina,1314,1,6,6-0,Champion
2006,North Carolina,1314,3,1,1-1,Round of 32
2007,North Carolina,1314,1,3,3-1,Elite Eight
2008,North Carolina,1314,1,4,4-1,Final Four
2009,North Carolina,1314,1,6,6-0,Champion
2011,North Carolina,1314,2,3,3-1,Elite Eight
2012,North Carolina,1314,1,3,3-1,Elite Eight
2013,North Carolina,1314,8,1,1-1,Round of 32
2014,North Carolina,1314,6,1,1-1,Round of 32
2015,North Carolina,1314,4,2,2-1,Sweet 16
2016,North Carolina,1314,1,5,5-1,NCG
2017,North Carolina,1314,1,6,6-0,Champion
2018,North Carolina,1314,2,1,1-1,Round of 32
2019,North Carolina,1314,1,2,2-1,Sweet 16
2021,North Carolina,1314,8,0,0-1,R64 Exit
2022,North Carolina,1314,8,5,5-1,NCG
2024,North Carolina,1314,1,2,2-1,Sweet 16
2025,North Carolina,1314,11,1,1-1,Round of 32
2017,North Dakota,1315,15,0,0-1,R64 Exit
2015,North Florida,1316,16,0,0-1,R64 Exit
2007,North Texas,1317,15,0,0-1,R64 Exit
2010,North Texas,1317,15,0,0-1,R64 Exit
2021,North Texas,1317,13,1,1-1,Round of 32
2015,Northeastern,1318,14,0,0-1,R64 Exit
2019,Northeastern,1318,13,0,0-1,R64 Exit
2004,Northern Iowa,1320,14,0,0-1,R64 Exit
2005,Northern Iowa,1320,11,0,0-1,R64 Exit
2006,Northern Iowa,1320,10,0,0-1,R64 Exit
2009,Northern Iowa,1320,12,0,0-1,R64 Exit
2010,Northern Iowa,1320,9,2,2-1,Sweet 16
2015,Northern Iowa,1320,5,1,1-1,Round of 32
2016,Northern Iowa,1320,11,1,1-1,Round of 32
2017,Northwestern,1321,8,1,1-1,Round of 32
2023,Northwestern,1321,7,1,1-1,Round of 32
2024,Northwestern,1321,9,1,1-1,Round of 32
2006,Northwestern LA,1322,14,1,1-1,Round of 32
2013,Northwestern LA,1322,14,0,0-1,R64 Exit
2003,Notre Dame,1323,5,2,2-1,Sweet 16
2007,Notre Dame,1323,6,0,0-1,R64 Exit
2008,Notre Dame,1323,5,1,1-1,Round of 32
2010,Notre Dame,1323,6,0,0-1,R64 Exit
2011,Notre Dame,1323,2,1,1-1,Round of 32
2012,Notre Dame,1323,7,0,0-1,R64 Exit
2013,Notre Dame,1323,7,0,0-1,R64 Exit
2015,Notre Dame,1323,3,3,3-1,Elite Eight
2016,Notre Dame,1323,6,3,3-1,Elite Eight
2017,Notre Dame,1323,5,1,1-1,Round of 32
2022,Notre Dame,1323,11,2,2-1,Sweet 16
2005,Oakland,1324,16,1,1-1,Round of 32
2010,Oakland,1324,14,0,0-1,R64 Exit
2011,Oakland,1324,13,0,0-1,R64 Exit
2024,Oakland,1324,14,1,1-1,Round of 32
2005,Ohio,1325,13,0,0-1,R64 Exit
2010,Ohio,1325,14,1,1-1,Round of 32
2012,Ohio,1325,13,2,2-1,Sweet 16
2021,Ohio,1325,13,1,1-1,Round of 32
2006,Ohio St,1326,2,1,1-1,Round of 32
2007,Ohio St,1326,1,5,5-1,NCG
2009,Ohio St,1326,8,0,0-1,R64 Exit
2010,Ohio St,1326,2,2,2-1,Sweet 16
2011,Ohio St,1326,1,2,2-1,Sweet 16
2012,Ohio St,1326,2,4,4-1,Final Four
2013,Ohio St,1326,2,3,3-1,Elite Eight
2014,Ohio St,1326,6,0,0-1,R64 Exit
2015,Ohio St,1326,10,1,1-1,Round of 32
2018,Ohio St,1326,5,1,1-1,Round of 32
2019,Ohio St,1326,11,1,1-1,Round of 32
2021,Ohio St,1326,2,0,0-1,R64 Exit
2022,Ohio St,1326,7,1,1-1,Round of 32
2003,Oklahoma,1328,1,3,3-1,Elite Eight
2005,Oklahoma,1328,3,1,1-1,Round of 32
2006,Oklahoma,1328,6,0,0-1,R64 Exit
2008,Oklahoma,1328,6,1,1-1,Round of 32
2009,Oklahoma,1328,2,3,3-1,Elite Eight
2013,Oklahoma,1328,10,0,0-1,R64 Exit
2014,Oklahoma,1328,5,0,0-1,R64 Exit
2015,Oklahoma,1328,3,2,2-1,Sweet 16
2016,Oklahoma,1328,2,4,4-1,Final Four
2018,Oklahoma,1328,10,0,0-1,R64 Exit
2019,Oklahoma,1328,9,1,1-1,Round of 32
2021,Oklahoma,1328,8,1,1-1,Round of 32
2025,Oklahoma,1328,9,0,0-1,R64 Exit
2003,Oklahoma St,1329,6,1,1-1,Round of 32
2004,Oklahoma St,1329,2,4,4-1,Final Four
2005,Oklahoma St,1329,2,2,2-1,Sweet 16
2009,Oklahoma St,1329,8,1,1-1,Round of 32
2010,Oklahoma St,1329,7,0,0-1,R64 Exit
2013,Oklahoma St,1329,5,0,0-1,R64 Exit
2014,Oklahoma St,1329,9,0,0-1,R64 Exit
2015,Oklahoma St,1329,9,0,0-1,R64 Exit
2017,Oklahoma St,1329,10,0,0-1,R64 Exit
2021,Oklahoma St,1329,4,1,1-1,Round of 32
2005,Old Dominion,1330,12,0,0-1,R64 Exit
2007,Old Dominion,1330,12,0,0-1,R64 Exit
2010,Old Dominion,1330,11,1,1-1,Round of 32
2011,Old Dominion,1330,9,0,0-1,R64 Exit
2019,Old Dominion,1330,14,0,0-1,R64 Exit
2006,Oral Roberts,1331,16,0,0-1,R64 Exit
2007,Oral Roberts,1331,14,0,0-1,R64 Exit
2008,Oral Roberts,1331,13,0,0-1,R64 Exit
2021,Oral Roberts,1331,15,2,2-1,Sweet 16
2023,Oral Roberts,1331,12,0,0-1,R64 Exit
2003,Oregon,1332,8,0,0-1,R64 Exit
2007,Oregon,1332,3,3,3-1,Elite Eight
2008,Oregon,1332,9,0,0-1,R64 Exit
2013,Oregon,1332,12,2,2-1,Sweet 16
2014,Oregon,1332,7,1,1-1,Round of 32
2015,Oregon,1332,8,1,1-1,Round of 32
2016,Oregon,1332,1,3,3-1,Elite Eight
2017,Oregon,1332,3,4,4-1,Final Four
2019,Oregon,1332,12,2,2-1,Sweet 16
2021,Oregon,1332,7,1,1-1,Round of 32
2024,Oregon,1332,11,1,1-1,Round of 32
2025,Oregon,1332,5,1,1-1,Round of 32
2016,Oregon St,1333,7,0,0-1,R64 Exit
2021,Oregon St,1333,12,3,3-1,Elite Eight
2004,Pacific,1334,12,1,1-1,Round of 32
2005,Pacific,1334,8,1,1-1,Round of 32
2006,Pacific,1334,13,0,0-1,R64 Exit
2013,Pacific,1334,15,0,0-1,R64 Exit
2003,Penn,1335,11,0,0-1,R64 Exit
2005,Penn,1335,13,0,0-1,R64 Exit
2006,Penn,1335,15,0,0-1,R64 Exit
2007,Penn,1335,14,0,0-1,R64 Exit
2018,Penn,1335,16,0,0-1,R64 Exit
2011,Penn St,1336,10,0,0-1,R64 Exit
2023,Penn St,1336,10,1,1-1,Round of 32
2003,Pittsburgh,1338,2,2,2-1,Sweet 16
2004,Pittsburgh,1338,3,2,2-1,Sweet 16
2005,Pittsburgh,1338,9,0,0-1,R64 Exit
2006,Pittsburgh,1338,5,1,1-1,Round of 32
2007,Pittsburgh,1338,3,2,2-1,Sweet 16
2008,Pittsburgh,1338,4,1,1-1,Round of 32
2009,Pittsburgh,1338,1,3,3-1,Elite Eight
2010,Pittsburgh,1338,3,1,1-1,Round of 32
2011,Pittsburgh,1338,1,1,1-1,Round of 32
2013,Pittsburgh,1338,8,0,0-1,R64 Exit
2014,Pittsburgh,1338,9,1,1-1,Round of 32
2016,Pittsburgh,1338,10,0,0-1,R64 Exit
2023,Pittsburgh,1338,11,2,2-1,Sweet 16
2008,Portland St,1340,16,0,0-1,R64 Exit
2009,Portland St,1340,13,0,0-1,R64 Exit
2019,Prairie View,1341,16,0,0-1,R64 Exit
2004,Princeton,1343,14,0,0-1,R64 Exit
2011,Princeton,1343,13,0,0-1,R64 Exit
2017,Princeton,1343,12,0,0-1,R64 Exit
2023,Princeton,1343,15,2,2-1,Sweet 16
2004,Providence,1344,5,0,0-1,R64 Exit
2014,Providence,1344,11,0,0-1,R64 Exit
2015,Providence,1344,6,0,0-1,R64 Exit
2016,Providence,1344,9,1,1-1,Round of 32
2017,Providence,1344,11,0,0-1,R64 Exit
2018,Providence,1344,10,0,0-1,R64 Exit
2022,Providence,1344,4,2,2-1,Sweet 16
2023,Providence,1344,11,0,0-1,R64 Exit
2003,Purdue,1345,9,1,1-1,Round of 32
2007,Purdue,1345,9,1,1-1,Round of 32
2008,Purdue,1345,6,1,1-1,Round of 32
2009,Purdue,1345,5,2,2-1,Sweet 16
2010,Purdue,1345,4,2,2-1,Sweet 16
2011,Purdue,1345,3,1,1-1,Round of 32
2012,Purdue,1345,10,1,1-1,Round of 32
2015,Purdue,1345,9,0,0-1,R64 Exit
2016,Purdue,1345,5,0,0-1,R64 Exit
2017,Purdue,1345,4,2,2-1,Sweet 16
2018,Purdue,1345,2,2,2-1,Sweet 16
