Season,TeamName,TeamID,Seed,Wins,Record,Deepest Round
2019,Purdue,1345,3,3,3-1,Elite Eight
2021,Purdue,1345,4,0,0-1,R64 Exit
2022,Purdue,1345,3,2,2-1,Sweet 16
2023,Purdue,1345,1,0,0-1,R64 Exit
2024,Purdue,1345,1,5,5-1,NCG
2025,Purdue,1345,4,2,2-1,Sweet 16
2009,Radford,1347,16,0,0-1,R64 Exit
2018,Radford,1347,16,1,1-1,Round of 32
2017,Rhode Island,1348,11,1,1-1,Round of 32
2018,Rhode Island,1348,7,1,1-1,Round of 32
2004,Richmond,1350,11,0,0-1,R64 Exit
2010,Richmond,1350,7,0,0-1,R64 Exit
2011,Richmond,1350,12,2,2-1,Sweet 16
2022,Richmond,1350,12,1,1-1,Round of 32
2009,Robert Morris,1352,15,0,0-1,R64 Exit
2010,Robert Morris,1352,15,0,0-1,R64 Exit
2015,Robert Morris,1352,16,1,1-1,Round of 32
2025,Robert Morris,1352,15,0,0-1,R64 Exit
2021,Rutgers,1353,10,1,1-1,Round of 32
2022,Rutgers,1353,11,0,0-1,R64 Exit
2003,S Carolina St,1354,16,0,0-1,R64 Exit
2012,S Dakota St,1355,14,0,0-1,R64 Exit
2013,S Dakota St,1355,13,0,0-1,R64 Exit
2016,S Dakota St,1355,12,0,0-1,R64 Exit
2017,S Dakota St,1355,16,0,0-1,R64 Exit
2018,S Dakota St,1355,12,0,0-1,R64 Exit
2022,S Dakota St,1355,13,0,0-1,R64 Exit
2024,S Dakota St,1355,15,0,0-1,R64 Exit
2003,S Illinois,1356,11,0,0-1,R64 Exit
2004,S Illinois,1356,9,0,0-1,R64 Exit
2005,S Illinois,1356,7,1,1-1,Round of 32
2006,S Illinois,1356,11,0,0-1,R64 Exit
2007,S Illinois,1356,4,2,2-1,Sweet 16
2005,SE Louisiana,1368,15,0,0-1,R64 Exit
2023,SE Missouri St,1369,16,0,0-1,R64 Exit
2009,SF Austin,1372,14,0,0-1,R64 Exit
2014,SF Austin,1372,12,1,1-1,Round of 32
2015,SF Austin,1372,12,0,0-1,R64 Exit
2016,SF Austin,1372,14,1,1-1,Round of 32
2018,SF Austin,1372,14,0,0-1,R64 Exit
2025,SIUE,1188,16,0,0-1,R64 Exit
2015,SMU,1374,6,0,0-1,R64 Exit
2017,SMU,1374,6,0,0-1,R64 Exit
2006,SUNY Albany,1107,16,0,0-1,R64 Exit
2007,SUNY Albany,1107,13,0,0-1,R64 Exit
2013,SUNY Albany,1107,15,0,0-1,R64 Exit
2014,SUNY Albany,1107,16,1,1-1,Round of 32
2015,SUNY Albany,1107,14,0,0-1,R64 Exit
2003,Sam Houston St,1358,15,0,0-1,R64 Exit
2010,Sam Houston St,1358,14,0,0-1,R64 Exit
2024,Samford,1359,13,0,0-1,R64 Exit
2003,San Diego,1360,13,0,0-1,R64 Exit
2008,San Diego,1360,13,1,1-1,Round of 32
2006,San Diego St,1361,11,0,0-1,R64 Exit
2010,San Diego St,1361,11,0,0-1,R64 Exit
2011,San Diego St,1361,2,2,2-1,Sweet 16
2012,San Diego St,1361,6,0,0-1,R64 Exit
2013,San Diego St,1361,7,1,1-1,Round of 32
2014,San Diego St,1361,4,2,2-1,Sweet 16
2015,San Diego St,1361,8,1,1-1,Round of 32
2018,San Diego St,1361,11,0,0-1,R64 Exit
2021,San Diego St,1361,6,0,0-1,R64 Exit
2022,San Diego St,1361,8,0,0-1,R64 Exit
2023,San Diego St,1361,5,5,5-1,NCG
2024,San Diego St,1361,5,2,2-1,Sweet 16
2025,San Diego St,1361,11,0,0-1,R64 Exit
2022,San Francisco,1362,10,0,0-1,R64 Exit
2004,Seton Hall,1371,8,1,1-1,Round of 32
2006,Seton Hall,1371,10,0,0-1,R64 Exit
2016,Seton Hall,1371,6,0,0-1,R64 Exit
2017,Seton Hall,1371,9,0,0-1,R64 Exit
2018,Seton Hall,1371,8,1,1-1,Round of 32
2019,Seton Hall,1371,10,0,0-1,R64 Exit
2022,Seton Hall,1371,8,0,0-1,R64 Exit
2008,Siena,1373,13,1,1-1,Round of 32
2009,Siena,1373,9,1,1-1,Round of 32
2010,Siena,1373,13,0,0-1,R64 Exit
2006,South Alabama,1375,14,0,0-1,R64 Exit
2008,South Alabama,1375,10,0,0-1,R64 Exit
2004,South Carolina,1376,10,0,0-1,R64 Exit
2017,South Carolina,1376,7,4,4-1,Final Four
2024,South Carolina,1376,6,0,0-1,R64 Exit
2012,South Florida,1378,12,2,2-1,Sweet 16
2012,Southern Miss,1379,9,0,0-1,R64 Exit
2006,Southern Univ,1380,16,0,0-1,R64 Exit
2013,Southern Univ,1380,16,0,0-1,R64 Exit
2016,Southern Univ,1380,16,0,0-1,R64 Exit
2012,St Bonaventure,1382,14,0,0-1,R64 Exit
2018,St Bonaventure,1382,11,1,1-1,Round of 32
2021,St Bonaventure,1382,9,0,0-1,R64 Exit
2025,St Francis PA,1384,16,0,0-1,R64 Exit
2011,St John's,1385,6,0,0-1,R64 Exit
2015,St John's,1385,9,0,0-1,R64 Exit
2019,St John's,1385,11,0,0-1,R64 Exit
2025,St John's,1385,2,1,1-1,Round of 32
2003,St Joseph's PA,1386,7,0,0-1,R64 Exit
2004,St Joseph's PA,1386,1,3,3-1,Elite Eight
2008,St Joseph's PA,1386,11,0,0-1,R64 Exit
2014,St Joseph's PA,1386,10,0,0-1,R64 Exit
2016,St Joseph's PA,1386,8,1,1-1,Round of 32
2012,St Louis,1387,9,1,1-1,Round of 32
2013,St Louis,1387,4,1,1-1,Round of 32
2014,St Louis,1387,5,1,1-1,Round of 32
2019,St Louis,1387,13,0,0-1,R64 Exit
2005,St Mary's CA,1388,10,0,0-1,R64 Exit
2008,St Mary's CA,1388,10,0,0-1,R64 Exit
2010,St Mary's CA,1388,10,2,2-1,Sweet 16
2012,St Mary's CA,1388,7,0,0-1,R64 Exit
2013,St Mary's CA,1388,11,1,1-1,Round of 32
2017,St Mary's CA,1388,7,1,1-1,Round of 32
2019,St Mary's CA,1388,11,0,0-1,R64 Exit
2022,St Mary's CA,1388,5,1,1-1,Round of 32
2023,St Mary's CA,1388,5,1,1-1,Round of 32
2024,St Mary's CA,1388,5,0,0-1,R64 Exit
2025,St Mary's CA,1388,7,1,1-1,Round of 32
2011,St Peter's,1389,14,0,0-1,R64 Exit
2022,St Peter's,1389,15,3,3-1,Elite Eight
2024,St Peter's,1389,15,0,0-1,R64 Exit
2003,Stanford,1390,4,1,1-1,Round of 32
2004,Stanford,1390,1,1,1-1,Round of 32
2005,Stanford,1390,8,0,0-1,R64 Exit
2007,Stanford,1390,11,0,0-1,R64 Exit
2008,Stanford,1390,3,2,2-1,Sweet 16
2014,Stanford,1390,10,2,2-1,Sweet 16
2024,Stetson,1391,16,0,0-1,R64 Exit
2016,Stony Brook,1392,13,0,0-1,R64 Exit
2003,Syracuse,1393,3,6,6-0,Champion
2004,Syracuse,1393,5,2,2-1,Sweet 16
2005,Syracuse,1393,4,0,0-1,R64 Exit
2006,Syracuse,1393,5,0,0-1,R64 Exit
2009,Syracuse,1393,3,2,2-1,Sweet 16
2010,Syracuse,1393,1,2,2-1,Sweet 16
2011,Syracuse,1393,3,1,1-1,Round of 32
2012,Syracuse,1393,1,3,3-1,Elite Eight
2013,Syracuse,1393,4,4,4-1,Final Four
2014,Syracuse,1393,3,1,1-1,Round of 32
2016,Syracuse,1393,10,4,4-1,Final Four
2018,Syracuse,1393,11,3,3-1,Elite Eight
2019,Syracuse,1393,8,0,0-1,R64 Exit
2021,Syracuse,1393,11,2,2-1,Sweet 16
2007,TAM C. Christi,1394,15,0,0-1,R64 Exit
2022,TAM C. Christi,1394,16,0,0-1,R64 Exit
2023,TAM C. Christi,1394,16,1,1-1,Round of 32
2018,TCU,1395,6,0,0-1,R64 Exit
2022,TCU,1395,9,1,1-1,Round of 32
2023,TCU,1395,6,1,1-1,Round of 32
2024,TCU,1395,9,0,0-1,R64 Exit
2003,TX Southern,1411,16,0,0-1,R64 Exit
2014,TX Southern,1411,16,0,0-1,R64 Exit
2015,TX Southern,1411,15,0,0-1,R64 Exit
2017,TX Southern,1411,16,0,0-1,R64 Exit
2018,TX Southern,1411,16,1,1-1,Round of 32
2021,TX Southern,1411,16,1,1-1,Round of 32
2022,TX Southern,1411,16,1,1-1,Round of 32
2023,TX Southern,1411,16,0,0-1,R64 Exit
2008,Temple,1396,12,0,0-1,R64 Exit
2009,Temple,1396,11,0,0-1,R64 Exit
2010,Temple,1396,5,0,0-1,R64 Exit
2011,Temple,1396,7,1,1-1,Round of 32
2012,Temple,1396,5,0,0-1,R64 Exit
2013,Temple,1396,9,1,1-1,Round of 32
2016,Temple,1396,10,0,0-1,R64 Exit
2019,Temple,1396,11,0,0-1,R64 Exit
2006,Tennessee,1397,2,1,1-1,Round of 32
2007,Tennessee,1397,5,2,2-1,Sweet 16
2008,Tennessee,1397,2,2,2-1,Sweet 16
2009,Tennessee,1397,9,0,0-1,R64 Exit
2010,Tennessee,1397,6,3,3-1,Elite Eight
2011,Tennessee,1397,9,0,0-1,R64 Exit
2014,Tennessee,1397,11,3,3-1,Elite Eight
2018,Tennessee,1397,3,1,1-1,Round of 32
2019,Tennessee,1397,2,2,2-1,Sweet 16
2021,Tennessee,1397,5,0,0-1,R64 Exit
2022,Tennessee,1397,3,1,1-1,Round of 32
2023,Tennessee,1397,4,2,2-1,Sweet 16
2024,Tennessee,1397,2,3,3-1,Elite Eight
2025,Tennessee,1397,2,3,3-1,Elite Eight
2003,Texas,1400,1,4,4-1,Final Four
2004,Texas,1400,3,2,2-1,Sweet 16
2005,Texas,1400,8,0,0-1,R64 Exit
2006,Texas,1400,2,3,3-1,Elite Eight
2007,Texas,1400,4,1,1-1,Round of 32
2008,Texas,1400,2,3,3-1,Elite Eight
2009,Texas,1400,7,1,1-1,Round of 32
2010,Texas,1400,8,0,0-1,R64 Exit
2011,Texas,1400,4,1,1-1,Round of 32
2012,Texas,1400,11,0,0-1,R64 Exit
2014,Texas,1400,7,1,1-1,Round of 32
2015,Texas,1400,11,0,0-1,R64 Exit
2016,Texas,1400,6,0,0-1,R64 Exit
2018,Texas,1400,10,0,0-1,R64 Exit
2021,Texas,1400,3,0,0-1,R64 Exit
2022,Texas,1400,6,1,1-1,Round of 32
2023,Texas,1400,2,3,3-1,Elite Eight
2024,Texas,1400,7,1,1-1,Round of 32
2025,Texas,1400,11,0,0-1,R64 Exit
2006,Texas A&M,1401,12,1,1-1,Round of 32
2007,Texas A&M,1401,3,2,2-1,Sweet 16
2008,Texas A&M,1401,9,1,1-1,Round of 32
2009,Texas A&M,1401,9,1,1-1,Round of 32
2010,Texas A&M,1401,5,1,1-1,Round of 32
2011,Texas A&M,1401,7,0,0-1,R64 Exit
2016,Texas A&M,1401,3,2,2-1,Sweet 16
2018,Texas A&M,1401,7,2,2-1,Sweet 16
2023,Texas A&M,1401,7,0,0-1,R64 Exit
2024,Texas A&M,1401,9,1,1-1,Round of 32
2025,Texas A&M,1401,4,1,1-1,Round of 32
2004,Texas Tech,1403,8,1,1-1,Round of 32
2005,Texas Tech,1403,6,2,2-1,Sweet 16
2007,Texas Tech,1403,10,0,0-1,R64 Exit
2016,Texas Tech,1403,8,0,0-1,R64 Exit
2018,Texas Tech,1403,3,3,3-1,Elite Eight
2019,Texas Tech,1403,3,5,5-1,NCG
2021,Texas Tech,1403,6,1,1-1,Round of 32
2022,Texas Tech,1403,3,2,2-1,Sweet 16
2024,Texas Tech,1403,6,0,0-1,R64 Exit
2025,Texas Tech,1403,3,3,3-1,Elite Eight
2003,Troy,1407,14,0,0-1,R64 Exit
2017,Troy,1407,15,0,0-1,R64 Exit
2025,Troy,1407,14,0,0-1,R64 Exit
2003,Tulsa,1409,13,1,1-1,Round of 32
2014,Tulsa,1409,13,0,0-1,R64 Exit
2016,Tulsa,1409,11,0,0-1,R64 Exit
2004,UAB,1412,9,2,2-1,Sweet 16
2005,UAB,1412,11,1,1-1,Round of 32
2006,UAB,1412,9,0,0-1,R64 Exit
2011,UAB,1412,12,0,0-1,R64 Exit
2015,UAB,1412,14,1,1-1,Round of 32
2022,UAB,1412,12,0,0-1,R64 Exit
2024,UAB,1412,12,0,0-1,R64 Exit
2017,UC Davis,1413,16,1,1-1,Round of 32
2015,UC Irvine,1414,13,0,0-1,R64 Exit
2019,UC Irvine,1414,13,1,1-1,Round of 32
2025,UC San Diego,1471,12,0,0-1,R64 Exit
2010,UC Santa Barbara,1364,15,0,0-1,R64 Exit
2011,UC Santa Barbara,1364,15,0,0-1,R64 Exit
2021,UC Santa Barbara,1364,12,0,0-1,R64 Exit
2023,UC Santa Barbara,1364,14,0,0-1,R64 Exit
2004,UCF,1416,14,0,0-1,R64 Exit
2005,UCF,1416,15,0,0-1,R64 Exit
2019,UCF,1416,9,1,1-1,Round of 32
2005,UCLA,1417,11,0,0-1,R64 Exit
2006,UCLA,1417,2,5,5-1,NCG
2007,UCLA,1417,2,4,4-1,Final Four
2008,UCLA,1417,1,4,4-1,Final Four
2009,UCLA,1417,6,1,1-1,Round of 32
2011,UCLA,1417,7,1,1-1,Round of 32
2013,UCLA,1417,6,0,0-1,R64 Exit
2014,UCLA,1417,4,2,2-1,Sweet 16
2015,UCLA,1417,11,2,2-1,Sweet 16
2017,UCLA,1417,3,2,2-1,Sweet 16
2018,UCLA,1417,11,0,0-1,R64 Exit
2021,UCLA,1417,11,5,5-1,NCG
2022,UCLA,1417,4,2,2-1,Sweet 16
2023,UCLA,1417,2,2,2-1,Sweet 16
2025,UCLA,1417,7,1,1-1,Round of 32
2008,UMBC,1420,15,0,0-1,R64 Exit
2018,UMBC,1420,16,1,1-1,Round of 32
2003,UNC Asheville,1421,16,1,1-1,Round of 32
2011,UNC Asheville,1421,16,1,1-1,Round of 32
2012,UNC Asheville,1421,16,0,0-1,R64 Exit
2016,UNC Asheville,1421,15,0,0-1,R64 Exit
2023,UNC Asheville,1421,15,0,0-1,R64 Exit
2018,UNC Greensboro,1422,13,0,0-1,R64 Exit
2021,UNC Greensboro,1422,13,0,0-1,R64 Exit
2003,UNC Wilmington,1423,11,0,0-1,R64 Exit
2006,UNC Wilmington,1423,9,0,0-1,R64 Exit
2016,UNC Wilmington,1423,13,0,0-1,R64 Exit
2017,UNC Wilmington,1423,12,0,0-1,R64 Exit
2025,UNC Wilmington,1423,14,0,0-1,R64 Exit
2007,UNLV,1424,7,2,2-1,Sweet 16
2008,UNLV,1424,8,1,1-1,Round of 32
2010,UNLV,1424,8,0,0-1,R64 Exit
2011,UNLV,1424,8,0,0-1,R64 Exit
2012,UNLV,1424,6,0,0-1,R64 Exit
2013,UNLV,1424,5,0,0-1,R64 Exit
2007,USC,1425,5,2,2-1,Sweet 16
2008,USC,1425,6,0,0-1,R64 Exit
2009,USC,1425,10,1,1-1,Round of 32
2011,USC,1425,11,0,0-1,R64 Exit
2016,USC,1425,8,0,0-1,R64 Exit
2017,USC,1425,11,2,2-1,Sweet 16
2021,USC,1425,6,3,3-1,Elite Eight
2022,USC,1425,7,0,0-1,R64 Exit
2023,USC,1425,10,0,0-1,R64 Exit
2008,UT Arlington,1426,16,0,0-1,R64 Exit
2004,UT San Antonio,1427,16,0,0-1,R64 Exit
2011,UT San Antonio,1427,16,1,1-1,Round of 32
2004,UTEP,1431,13,0,0-1,R64 Exit
2005,UTEP,1431,11,0,0-1,R64 Exit
2010,UTEP,1431,12,0,0-1,R64 Exit
2003,Utah,1428,9,1,1-1,Round of 32
2004,Utah,1428,11,0,0-1,R64 Exit
2005,Utah,1428,6,2,2-1,Sweet 16
2009,Utah,1428,5,0,0-1,R64 Exit
2015,Utah,1428,5,2,2-1,Sweet 16
2016,Utah,1428,3,1,1-1,Round of 32
2003,Utah St,1429,15,0,0-1,R64 Exit
2005,Utah St,1429,14,0,0-1,R64 Exit
2006,Utah St,1429,12,0,0-1,R64 Exit
2009,Utah St,1429,11,0,0-1,R64 Exit
2010,Utah St,1429,12,0,0-1,R64 Exit
2011,Utah St,1429,12,0,0-1,R64 Exit
2019,Utah St,1429,8,0,0-1,R64 Exit
2021,Utah St,1429,11,0,0-1,R64 Exit
2023,Utah St,1429,10,0,0-1,R64 Exit
2024,Utah St,1429,8,1,1-1,Round of 32
2025,Utah St,1429,10,0,0-1,R64 Exit
2004,VCU,1433,13,0,0-1,R64 Exit
2007,VCU,1433,11,1,1-1,Round of 32
2009,VCU,1433,11,0,0-1,R64 Exit
2011,VCU,1433,11,5,5-1,NCG
2012,VCU,1433,12,1,1-1,Round of 32
2013,VCU,1433,5,1,1-1,Round of 32
2014,VCU,1433,5,0,0-1,R64 Exit
2015,VCU,1433,7,0,0-1,R64 Exit
2016,VCU,1433,10,1,1-1,Round of 32
2017,VCU,1433,10,0,0-1,R64 Exit
2019,VCU,1433,8,0,0-1,R64 Exit
2023,VCU,1433,12,0,0-1,R64 Exit
2025,VCU,1433,11,0,0-1,R64 Exit
2004,Valparaiso,1434,15,0,0-1,R64 Exit
2013,Valparaiso,1434,14,0,0-1,R64 Exit
2015,Valparaiso,1434,13,0,0-1,R64 Exit
2004,Vanderbilt,1435,6,2,2-1,Sweet 16
2007,Vanderbilt,1435,6,2,2-1,Sweet 16
2008,Vanderbilt,1435,4,0,0-1,R64 Exit
2010,Vanderbilt,1435,4,0,0-1,R64 Exit
2011,Vanderbilt,1435,5,0,0-1,R64 Exit
2012,Vanderbilt,1435,5,1,1-1,Round of 32
2016,Vanderbilt,1435,11,0,0-1,R64 Exit
2017,Vanderbilt,1435,9,0,0-1,R64 Exit
2025,Vanderbilt,1435,10,0,0-1,R64 Exit
2003,Vermont,1436,16,0,0-1,R64 Exit
2004,Vermont,1436,15,0,0-1,R64 Exit
2005,Vermont,1436,13,1,1-1,Round of 32
2010,Vermont,1436,16,0,0-1,R64 Exit
2012,Vermont,1436,16,1,1-1,Round of 32
2017,Vermont,1436,13,0,0-1,R64 Exit
2019,Vermont,1436,13,0,0-1,R64 Exit
2022,Vermont,1436,13,0,0-1,R64 Exit
2023,Vermont,1436,15,0,0-1,R64 Exit
2024,Vermont,1436,13,0,0-1,R64 Exit
2005,Villanova,1437,5,2,2-1,Sweet 16
2006,Villanova,1437,1,3,3-1,Elite Eight
2007,Villanova,1437,9,0,0-1,R64 Exit
2008,Villanova,1437,12,2,2-1,Sweet 16
2009,Villanova,1437,3,4,4-1,Final Four
2010,Villanova,1437,2,1,1-1,Round of 32
2011,Villanova,1437,9,0,0-1,R64 Exit
2013,Villanova,1437,9,0,0-1,R64 Exit
2014,Villanova,1437,2,1,1-1,Round of 32
2015,Villanova,1437,1,1,1-1,Round of 32
2016,Villanova,1437,2,6,6-0,Champion
2017,Villanova,1437,1,1,1-1,Round of 32
2018,Villanova,1437,1,6,6-0,Champion
2019,Villanova,1437,6,1,1-1,Round of 32
2021,Villanova,1437,5,2,2-1,Sweet 16
2022,Villanova,1437,2,4,4-1,Final Four
2007,Virginia,1438,4,1,1-1,Round of 32
2012,Virginia,1438,10,0,0-1,R64 Exit
2014,Virginia,1438,1,2,2-1,Sweet 16
2015,Virginia,1438,2,1,1-1,Round of 32
2016,Virginia,1438,1,3,3-1,Elite Eight
2017,Virginia,1438,5,1,1-1,Round of 32
2018,Virginia,1438,1,0,0-1,R64 Exit
2019,Virginia,1438,1,6,6-0,Champion
2021,Virginia,1438,4,0,0-1,R64 Exit
2023,Virginia,1438,4,0,0-1,R64 Exit
2024,Virginia,1438,10,0,0-1,R64 Exit
2007,Virginia Tech,1439,5,1,1-1,Round of 32
2017,Virginia Tech,1439,9,0,0-1,R64 Exit
2018,Virginia Tech,1439,8,0,0-1,R64 Exit
2019,Virginia Tech,1439,4,2,2-1,Sweet 16
2021,Virginia Tech,1439,10,0,0-1,R64 Exit
2022,Virginia Tech,1439,11,0,0-1,R64 Exit
2004,W Michigan,1444,11,0,0-1,R64 Exit
2014,W Michigan,1444,14,0,0-1,R64 Exit
2016,WI Green Bay,1453,14,0,0-1,R64 Exit
2003,WI Milwaukee,1454,12,0,0-1,R64 Exit
2005,WI Milwaukee,1454,12,2,2-1,Sweet 16
2006,WI Milwaukee,1454,11,1,1-1,Round of 32
2014,WI Milwaukee,1454,15,0,0-1,R64 Exit
2003,WKU,1443,13,0,0-1,R64 Exit
2008,WKU,1443,12,2,2-1,Sweet 16
2009,WKU,1443,12,1,1-1,Round of 32
2012,WKU,1443,16,1,1-1,Round of 32
2013,WKU,1443,16,0,0-1,R64 Exit
2024,WKU,1443,15,0,0-1,R64 Exit
2003,Wagner,1447,15,0,0-1,R64 Exit
2024,Wagner,1447,16,1,1-1,Round of 32
2003,Wake Forest,1448,2,1,1-1,Round of 32
2004,Wake Forest,1448,4,2,2-1,Sweet 16
2005,Wake Forest,1448,2,1,1-1,Round of 32
2009,Wake Forest,1448,4,0,0-1,R64 Exit
2010,Wake Forest,1448,9,1,1-1,Round of 32
2017,Wake Forest,1448,11,0,0-1,R64 Exit
2004,Washington,1449,8,0,0-1,R64 Exit
2005,Washington,1449,1,2,2-1,Sweet 16
2006,Washington,1449,5,2,2-1,Sweet 16
2009,Washington,1449,4,1,1-1,Round of 32
2010,Washington,1449,11,2,2-1,Sweet 16
2011,Washington,1449,7,1,1-1,Round of 32
2019,Washington,1449,9,1,1-1,Round of 32
2007,Washington St,1450,3,1,1-1,Round of 32
2008,Washington St,1450,4,2,2-1,Sweet 16
2024,Washington St,1450,7,1,1-1,Round of 32
2003,Weber St,1451,12,0,0-1,R64 Exit
2007,Weber St,1451,15,0,0-1,R64 Exit
2014,Weber St,1451,16,0,0-1,R64 Exit
2016,Weber St,1451,15,0,0-1,R64 Exit
2005,West Virginia,1452,7,3,3-1,Elite Eight
2006,West Virginia,1452,6,2,2-1,Sweet 16
2008,West Virginia,1452,7,2,2-1,Sweet 16
2009,West Virginia,1452,6,0,0-1,R64 Exit
2010,West Virginia,1452,2,4,4-1,Final Four
2011,West Virginia,1452,5,1,1-1,Round of 32
2012,West Virginia,1452,10,0,0-1,R64 Exit
2015,West Virginia,1452,5,2,2-1,Sweet 16
2016,West Virginia,1452,3,0,0-1,R64 Exit
2017,West Virginia,1452,4,2,2-1,Sweet 16
2018,West Virginia,1452,5,2,2-1,Sweet 16
2021,West Virginia,1452,3,1,1-1,Round of 32
2023,West Virginia,1452,9,0,0-1,R64 Exit
2006,Wichita St,1455,7,2,2-1,Sweet 16
2012,Wichita St,1455,5,0,0-1,R64 Exit
2013,Wichita St,1455,9,4,4-1,Final Four
2014,Wichita St,1455,1,1,1-1,Round of 32
2015,Wichita St,1455,7,2,2-1,Sweet 16
2016,Wichita St,1455,11,2,2-1,Sweet 16
2017,Wichita St,1455,10,1,1-1,Round of 32
2018,Wichita St,1455,4,0,0-1,R64 Exit
2021,Wichita St,1455,11,0,0-1,R64 Exit
2005,Winthrop,1457,14,0,0-1,R64 Exit
2006,Winthrop,1457,15,0,0-1,R64 Exit
2007,Winthrop,1457,11,1,1-1,Round of 32
2008,Winthrop,1457,13,0,0-1,R64 Exit
2010,Winthrop,1457,16,0,0-1,R64 Exit
2017,Winthrop,1457,13,0,0-1,R64 Exit
2021,Winthrop,1457,12,0,0-1,R64 Exit
2003,Wisconsin,1458,5,2,2-1,Sweet 16
2004,Wisconsin,1458,6,1,1-1,Round of 32
2005,Wisconsin,1458,6,3,3-1,Elite Eight
2006,Wisconsin,1458,9,0,0-1,R64 Exit
2007,Wisconsin,1458,2,1,1-1,Round of 32
2008,Wisconsin,1458,3,2,2-1,Sweet 16
2009,Wisconsin,1458,12,1,1-1,Round of 32
2010,Wisconsin,1458,4,1,1-1,Round of 32
2011,Wisconsin,1458,4,2,2-1,Sweet 16
2012,Wisconsin,1458,4,2,2-1,Sweet 16
2013,Wisconsin,1458,5,0,0-1,R64 Exit
2014,Wisconsin,1458,2,4,4-1,Final Four
2015,Wisconsin,1458,1,5,5-1,NCG
2016,Wisconsin,1458,7,2,2-1,Sweet 16
2017,Wisconsin,1458,8,2,2-1,Sweet 16
2019,Wisconsin,1458,5,0,0-1,R64 Exit
2021,Wisconsin,1458,9,1,1-1,Round of 32
2022,Wisconsin,1458,3,1,1-1,Round of 32
2024,Wisconsin,1458,5,0,0-1,R64 Exit
2025,Wisconsin,1458,3,1,1-1,Round of 32
2010,Wofford,1459,13,0,0-1,R64 Exit
2011,Wofford,1459,14,0,0-1,R64 Exit
2014,Wofford,1459,15,0,0-1,R64 Exit
2015,Wofford,1459,12,0,0-1,R64 Exit
2019,Wofford,1459,7,1,1-1,Round of 32
2025,Wofford,1459,15,0,0-1,R64 Exit
2007,Wright St,1460,14,0,0-1,R64 Exit
2018,Wright St,1460,14,0,0-1,R64 Exit
2022,Wright St,1460,16,1,1-1,Round of 32
2015,Wyoming,1461,12,0,0-1,R64 Exit
2022,Wyoming,1461,12,0,0-1,R64 Exit
2003,Xavier,1462,3,1,1-1,Round of 32
2004,Xavier,1462,7,3,3-1,Elite Eight
2006,Xavier,1462,14,0,0-1,R64 Exit
2007,Xavier,1462,9,1,1-1,Round of 32
2008,Xavier,1462,3,3,3-1,Elite Eight
2009,Xavier,1462,4,2,2-1,Sweet 16
2010,Xavier,1462,6,2,2-1,Sweet 16
2011,Xavier,1462,6,0,0-1,R64 Exit
2012,Xavier,1462,10,2,2-1,Sweet 16
2014,Xavier,1462,12,0,0-1,R64 Exit
2015,Xavier,1462,6,2,2-1,Sweet 16
2016,Xavier,1462,2,1,1-1,Round of 32
2017,Xavier,1462,11,3,3-1,Elite Eight
2018,Xavier,1462,1,1,1-1,Round of 32
2023,Xavier,1462,3,2,2-1,Sweet 16
2025,Xavier,1462,11,1,1-1,Round of 32
2016,Yale,1463,12,1,1-1,Round of 32
2019,Yale,1463,14,0,0-1,R64 Exit
2022,Yale,1463,14,0,0-1,R64 Exit
2024,Yale,1463,13,1,1-1,Round of 32
2025,Yale,1463,13,0,0-1,R64 Exit
